doi,altmetric_score,Full-text_change,Full-text_m1,abstract_change,abstract_m1,author_count,neutral_results,confirmatory_results,contradictory_results,new_results,extend_p,funded,influentialReferencesCount,num_hypo_tested,num_significant,p_val_range,pdf_change,pdf_m1,reading_score,real_p,real_p_sign,reference_background,reference_methodology,reference_result,references_count,sample_size,sentiment,subjectivity,tweets_within_month,univ_rank,published_within_year
10.1101/2020.01.21.914044,94.094,-3257,9618,-1945,14058,9,0,0,0,1,1,0,0,0,0,0,0,0,29.28,1,0,3,0,0,25,0,1,0.463603426,110,0.762376238,0
10.1101/2020.01.21.914929,4,42,7,-316,537,4,0,0,0,1,1,1,-1,12,12,0.0499,41,107,18.45,0.0001,-1,-1,-1,-1,47,3,0,0.480952381,9,2,1
10.1101/2020.01.22.914952,3531.878,-73003,77025,-110928,166230,28,0,0,0,1,1,1,0,0,0,0,-125950,170625,43.02,1,0,0,0,0,14,0,0,0.522556391,3713,2,1
10.1101/2020.01.22.915660,599.398,3709,4051,-25281,36015,3,0,0,0,1,1,0,0,0,0,0,-2018,7626,33.78,1,0,0,0,0,35,0,0,0.302777778,958,2,1
10.1101/2020.01.23.20018549,3433.938,0,0,-494020,574400,5,1,0,0,0,1,0,4,0,0,0,-151782,230160,-6.01,1,0,7,3,1,24,0,0,0.366666667,3223,2,0
10.1101/2020.01.24.915157,60.48,481,754,-2960,8800,7,0,0,0,1,1,0,-1,2,2,0,-999,4016,28.17,0.05,0,-1,-1,-1,14,0,0,0.39135101,53,2,1
10.1101/2020.01.24.919159,97.464,223,193,-993,5172,1,0,0,0,1,1,1,0,0,0,0,295,1542,29.18,1,0,2,0,0,21,0,0,0.524313187,70,0.99009901,1
10.1101/2020.01.25.919688,146.6,1335,327,-1963,5264,2,0,0,0,1,1,0,5,0,0,0,1031,1752,46.27,1,0,3,5,2,16,0,1,0.6,171,2,0
10.1101/2020.01.26.20018887,17.2,0,0,512,728,8,1,0,0,0,1,0,0,0,0,0,270,240,25.19,1,0,0,0,0,11,0,0,0.344791667,19,2,1
10.1101/2020.01.27.20018952,630.73,0,0,15883,9656,9,1,0,0,0,1,1,0,0,0,0,18391,13304,28.33,1,0,0,0,0,9,0,1,0.525,512,2,0
10.1101/2020.01.27.20018986,258.054,0,0,579,6393,3,1,0,0,0,1,1,1,0,0,0,424,2027,43.93,1,0,2,0,0,19,0,0,0.522916667,310,2,1
10.1101/2020.01.27.921536,11.3,54,2,-290,643,3,0,0,0,1,1,1,-1,0,0,0,-26,138,0.35,1,0,-1,-1,-1,31,0,0,0.517045455,21,0.465346535,0
10.1101/2020.01.27.921627,189.2,402,157,1639,3304,7,0,0,0,1,1,0,0,0,0,0,1793,1259,58.92,1,0,0,1,0,42,0,0,0.6375,142,2,0
10.1101/2020.01.28.20019299,502.322,0,0,3412,1341,7,1,0,0,0,1,0,0,0,0,0,2293,532,53.21,1,0,3,0,1,31,0,0,0.414285714,38,2,0
10.1101/2020.01.28.922922,71.5,834,11,3873,2039,9,0,0,0,1,1,0,0,0,0,0,1517,869,33.78,1,0,10,0,0,14,0,1,0.498518519,33,2,0
