doi,title,published_according_to_user_spreadsheet
10.1101/2020.05.26.20114124,Seroprevalence of SARS-CoV-2 among children visiting a hospital during the initial Seattle outbreak,FALSE
10.1101/2020.08.04.20167932,Viral cultures for COVID-19 infectivity assessment -a systematic review In: Analysis of the Transmission Dynamics of COVID-19: An Open Evidence Review,FALSE
10.1101/2020.05.10.20097543,Estimating the extent of true asymptomatic COVID-19 and its potential for community transmission: systematic review and meta-analysis,FALSE
10.1101/2020.04.22.20073551,"Relative disease burdens of COVID-19 and seasonal influenza in New York City, February 1 - April 18, 2020.",FALSE
10.1101/2020.08.07.20161737,"LamPORE: rapid, accurate and highly scalable molecular screening for SARS-CoV-2 infection, based on nanopore sequencing",FALSE
10.1101/2020.06.25.20140178,SARS-CoV-2 infection in primary schools in northern France: A retrospective cohort study in an area of high transmission Authors,FALSE
10.1101/2020.04.16.20066787,FALSE-NEGATIVE RESULTS OF INITIAL RT-PCR ASSAYS FOR COVID-19: A SYSTEMATIC REVIEW,FALSE
10.1101/2020.03.04.20031112,Projecting the transmission dynamics of SARS-CoV-2 through the post-pandemic period,TRUE
10.1101/2020.06.09.20116806,Pre exposure Hydroxychloroquine use is associated with reduced COVID19 risk in healthcare workers,FALSE
10.1101/2020.04.01.20049528,Facemasks and similar barriers to prevent respiratory illness such as COVID-19: A rapid systematic review,FALSE
10.1101/2020.05.08.20094870,Estimating pre-symptomatic transmission of COVID-19: a secondary analysis using published data,FALSE
10.1101/2020.05.20.20108415,Underreporting of death by COVID-19 in Brazil's second most populous state,FALSE
10.1101/2020.04.14.20062463,"COVID-19 Antibody Seroprevalence in Santa Clara County, California",FALSE
10.1101/2020.04.16.20062141,The estimated impact of non-pharmaceutical interventions on documented cases of COVID-19: A cross-country analysis,FALSE
10.1101/2020.04.28.20083675,BRAZIL IS PROJECTED TO BE THE NEXT GLOBAL COVID-19 PANDEMIC EPICENTER,FALSE
10.1101/2020.05.04.20089995,Evidence of a significant secretory-IgA-dominant SARS-CoV-2 immune response in human milk following recovery from COVID-19,TRUE
